number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_fixed_params,state
179,0.5694709180420454,2025-06-25 14:11:35.104306,2025-06-25 14:34:42.691909,0 days 00:23:07.587603,20,log2,0.97794978076995,0.0313384344783959,2,5,385,,COMPLETE
146,0.5695827454246808,2025-06-25 02:36:07.814900,2025-06-25 02:58:30.584256,0 days 00:22:22.769356,21,log2,0.9571943632440452,0.006753430975027294,3,6,400,,COMPLETE
184,0.5697083016881834,2025-06-25 16:05:49.920291,2025-06-25 16:28:27.871015,0 days 00:22:37.950724,20,log2,0.9722422706928885,0.04082934392577496,2,5,385,,COMPLETE
176,0.5697916727806457,2025-06-25 13:04:46.026789,2025-06-25 13:26:55.184868,0 days 00:22:09.158079,20,log2,0.9717552408709262,0.03567191068963083,2,5,386,,COMPLETE
183,0.5697955448994647,2025-06-25 15:43:13.122966,2025-06-25 16:05:49.893128,0 days 00:22:36.770162,20,log2,0.9723979385444331,0.03963339694747328,2,5,385,,COMPLETE
175,0.5698407665225701,2025-06-25 12:41:46.944695,2025-06-25 13:04:45.995385,0 days 00:22:59.050690,20,log2,0.9701658327952731,0.03409684898277777,2,5,400,,COMPLETE
192,0.5698508632448134,2025-06-25 19:02:39.698700,2025-06-25 19:23:42.079376,0 days 00:21:02.380676,20,log2,0.9730483851060959,0.040989205192102675,2,5,367,,COMPLETE
189,0.5698774389993351,2025-06-25 17:57:26.366176,2025-06-25 18:19:34.835205,0 days 00:22:08.469029,20,log2,0.9699059183740987,0.04044339875011423,2,5,384,,COMPLETE
186,0.5698818434704302,2025-06-25 16:51:11.986317,2025-06-25 17:13:35.872672,0 days 00:22:23.886355,20,log2,0.9736558225666923,0.040702779705417184,2,5,378,,COMPLETE
181,0.5698940485040154,2025-06-25 14:57:48.567803,2025-06-25 15:20:41.381682,0 days 00:22:52.813879,20,log2,0.9707241514978918,0.039657088670668514,2,5,387,,COMPLETE
182,0.5699042105111761,2025-06-25 15:20:41.411731,2025-06-25 15:43:13.100404,0 days 00:22:31.688673,20,log2,0.9732762326082701,0.0408030253594008,2,5,385,,COMPLETE
190,0.5699076120490756,2025-06-25 18:19:34.860095,2025-06-25 18:40:37.284960,0 days 00:21:02.424865,20,log2,0.9721540489280668,0.041221936451075324,2,5,368,,COMPLETE
188,0.5699160761993969,2025-06-25 17:35:27.475918,2025-06-25 17:57:26.337198,0 days 00:21:58.861280,20,log2,0.9684186055451341,0.040655725846849095,2,5,380,,COMPLETE
177,0.5699251016133298,2025-06-25 13:26:55.216700,2025-06-25 13:49:22.854378,0 days 00:22:27.637678,20,log2,0.9720020300270507,0.03961280352697197,2,5,391,,COMPLETE
187,0.569925511311842,2025-06-25 17:13:35.909082,2025-06-25 17:35:27.448990,0 days 00:21:51.539908,20,log2,0.972270300170397,0.041190217228232975,2,5,379,,COMPLETE
178,0.5699256643746575,2025-06-25 13:49:22.882867,2025-06-25 14:11:35.074761,0 days 00:22:12.191894,20,log2,0.9720768863204153,0.03911970561984061,2,5,386,,COMPLETE
191,0.5699426063973179,2025-06-25 18:40:37.324060,2025-06-25 19:02:39.659457,0 days 00:22:02.335397,20,log2,0.9747660821038573,0.04089209992607845,2,5,384,,COMPLETE
194,0.5699555082555378,2025-06-25 19:45:52.457908,2025-06-25 20:07:46.256089,0 days 00:21:53.798181,20,log2,0.9721471833029437,0.0409996492281475,2,5,381,,COMPLETE
193,0.5699574354708232,2025-06-25 19:23:42.108139,2025-06-25 19:45:52.433417,0 days 00:22:10.325278,20,log2,0.9742127289692977,0.040767642810034754,2,5,383,,COMPLETE
195,0.569958994062849,2025-06-25 20:07:46.286980,2025-06-25 20:28:45.582835,0 days 00:20:59.295855,20,log2,0.9693728824932664,0.04247858739309026,2,5,368,,COMPLETE
185,0.569973114219541,2025-06-25 16:28:27.900312,2025-06-25 16:51:11.950436,0 days 00:22:44.050124,20,log2,0.9746098669442217,0.04093193231914004,2,5,384,,COMPLETE
180,0.5700328622240254,2025-06-25 14:34:42.722684,2025-06-25 14:57:48.535620,0 days 00:23:05.812936,20,log2,0.9762817064699268,0.04011832689764325,2,5,386,,COMPLETE
147,0.5700887585352309,2025-06-25 02:58:30.620257,2025-06-25 03:16:59.091304,0 days 00:18:28.471047,21,log2,0.9424897951348306,0.03411324144647726,3,6,348,,COMPLETE
174,0.5709337547948085,2025-06-25 12:19:55.806937,2025-06-25 12:41:46.919767,0 days 00:21:51.112830,20,log2,0.9698468555524592,0.03583609048136196,3,5,400,,COMPLETE
172,0.5719394397308288,2025-06-25 11:36:57.573852,2025-06-25 11:58:50.877218,0 days 00:21:53.303366,19,log2,0.9965661742843216,0.03238076119528542,3,6,400,,COMPLETE
165,0.5721538136145556,2025-06-25 09:13:37.459766,2025-06-25 09:34:00.630020,0 days 00:20:23.170254,19,log2,0.9895910206108474,0.033673983206019935,3,5,378,,COMPLETE
161,0.5721959653339521,2025-06-25 07:49:51.139889,2025-06-25 08:11:21.447270,0 days 00:21:30.307381,19,log2,0.9974350828112348,0.036881313202897566,3,6,396,,COMPLETE
149,0.572201106693081,2025-06-25 03:37:54.546389,2025-06-25 03:58:58.532746,0 days 00:21:03.986357,19,log2,0.9534259921877198,0.03570736875834064,3,6,400,,COMPLETE
162,0.572206843429042,2025-06-25 08:11:21.466490,2025-06-25 08:32:13.752626,0 days 00:20:52.286136,19,log2,0.9889378332309303,0.033758237710390784,3,6,387,,COMPLETE
